ip_origem,tentativas_total,falhas,usuarios_distintos,intervalo_medio_seg,fracao_noturna,usuarios_inexistentes,sucesso_apos_falhas,portas_distintas,label
10.3.10.223,5,1,2,7436.2,0.039,0,0,1,benigno
10.192.190.66,4,2,2,3233.7,0.174,0,0,1,benigno
10.61.170.9,7,0,2,2460.2,0.376,0,1,2,benigno
10.28.252.232,188,182,24,4.3,0.56,12,0,1,brute_force
10.202.201.80,17,13,1,4115.2,0.243,1,0,1,benigno
10.253.160.143,16,12,1,1799.8,0.013,1,0,1,benigno
10.135.171.199,12,1,2,2451.8,0.108,0,0,1,benigno
10.215.82.180,216,190,33,3.3,0.639,10,0,2,brute_force
10.29.33.96,6,0,2,3716.1,0.134,1,0,1,benigno
10.19.52.237,4,0,3,3024.4,0.201,0,0,1,benigno
10.213.250.11,7,1,3,2028.6,0.176,0,0,1,benigno
10.54.108.58,5,0,3,2148.4,0.093,0,0,1,benigno
10.152.185.17,13,1,1,4590.6,0.18,0,1,1,benigno
10.139.9.166,10,0,2,3290.7,0.13,0,1,1,benigno
10.30.202.115,5,1,3,1090.3,0.582,0,0,2,benigno
10.71.51.229,8,7,4,3302.1,0.734,1,1,1,brute_force
10.1.145.109,11,0,2,2632.9,0.173,0,0,2,benigno
10.177.91.13,10,0,3,2795.6,0.257,0,0,1,benigno
10.209.109.59,210,207,25,4.9,0.394,12,0,1,brute_force
10.58.104.69,206,181,27,0.5,0.445,12,0,2,brute_force
10.134.185.182,10,1,2,4451.9,0.029,0,0,1,benigno
10.43.115.177,4,1,1,2862.0,0.024,0,1,1,benigno
10.81.182.216,206,195,29,1.1,0.495,15,0,3,brute_force
10.39.186.29,7,1,1,4393.4,0.041,0,0,2,benigno
10.158.39.160,8,1,2,776.2,0.045,0,1,1,benigno
10.222.157.143,5,2,1,3544.2,0.137,0,0,1,benigno
10.29.248.130,160,0,1,597.1,0.22,0,0,1,benigno
10.20.46.47,13,12,3,2638.3,0.285,2,0,1,brute_force
10.50.123.199,7,1,1,5411.0,0.106,0,1,2,benigno
10.110.48.247,12,0,1,2777.6,0.093,0,1,1,benigno
10.70.247.147,8,0,1,1783.9,0.064,0,1,1,benigno
10.70.47.118,192,181,25,1.5,0.75,8,0,2,brute_force
10.206.146.250,19,15,3,2423.3,0.237,0,0,2,benigno
10.240.0.52,6,2,2,1912.7,0.115,0,0,1,benigno
10.169.104.120,9,0,1,2005.2,0.049,0,0,2,benigno
10.20.118.14,8,0,1,2251.7,0.116,0,0,1,benigno
10.9.130.29,197,177,29,0.5,0.811,11,0,1,brute_force
10.242.49.66,17,3,1,1788.0,0.651,0,0,1,benigno
10.82.244.80,12,1,1,4070.4,0.041,0,0,1,benigno
10.124.40.240,6,1,2,4856.4,0.105,0,0,1,benigno
10.127.238.48,4,2,1,2942.7,0.295,0,0,1,benigno
10.33.9.253,8,0,3,2971.5,0.014,0,0,1,benigno
10.246.194.75,10,2,1,2529.2,0.233,0,0,1,benigno
10.223.50.198,6,1,1,3871.1,0.099,0,0,1,benigno
10.103.143.221,6,2,1,6788.4,0.128,0,0,1,benigno
10.113.29.176,8,1,1,1707.1,0.283,0,0,1,benigno
10.99.134.57,9,3,2,6075.7,0.06,0,0,1,benigno
10.89.107.13,5,1,3,5748.7,0.18,0,1,1,benigno
10.201.157.43,3,1,1,3163.4,0.234,0,0,2,benigno
10.44.85.127,12,10,6,1493.1,0.639,2,0,2,brute_force
10.145.104.175,191,163,35,3.8,0.569,8,0,1,brute_force
10.145.177.115,6,0,1,6525.5,0.232,0,0,2,benigno
10.184.112.145,2,0,2,3599.2,0.336,0,1,1,benigno
10.21.29.156,3,1,3,1665.4,0.07,0,0,1,benigno
10.25.183.139,4,0,3,2681.2,0.104,0,0,2,benigno
10.79.59.23,6,0,2,3964.3,0.017,0,1,1,benigno
10.82.187.159,14,13,2,3847.8,0.701,3,0,1,brute_force
10.13.70.51,200,190,36,3.4,0.353,10,0,2,brute_force
10.195.208.118,10,1,1,2978.7,0.138,0,1,1,benigno
10.165.249.222,4,1,2,1841.0,0.365,0,0,1,benigno
10.114.158.173,4,2,1,1849.5,0.015,0,0,1,benigno
10.210.166.46,9,0,1,3658.6,0.109,0,0,1,benigno
10.130.62.65,4,2,2,3164.3,0.044,0,0,1,benigno
10.35.53.172,7,2,1,5251.6,0.273,0,0,1,benigno
10.38.135.20,148,1,1,573.1,0.174,0,0,1,benigno
10.50.231.81,5,0,3,4770.6,0.021,0,0,1,benigno
10.179.12.149,7,0,3,4360.1,0.044,0,0,1,benigno
10.33.73.122,6,5,2,2900.2,0.551,3,0,2,brute_force
10.29.9.161,10,7,1,2384.5,0.505,0,0,1,benigno
10.12.233.176,11,1,1,5858.4,0.074,0,1,2,benigno
10.103.120.63,7,0,1,7567.5,0.108,1,0,1,benigno
10.238.31.243,7,0,2,4495.9,0.141,0,0,2,benigno
10.54.220.88,205,176,23,1.3,0.547,11,1,3,brute_force
10.97.56.173,8,1,2,3636.1,0.106,0,0,1,benigno
10.53.185.89,154,1,1,602.9,0.373,0,0,2,benigno
10.118.113.108,7,0,1,3018.5,0.243,0,0,1,benigno
10.228.92.5,11,0,1,1673.8,0.053,0,0,1,benigno
10.195.115.74,6,0,2,2868.2,0.049,0,0,2,benigno
10.204.33.193,7,0,1,7585.9,0.134,0,0,1,benigno
10.38.86.171,8,0,1,3707.7,0.38,0,0,1,benigno
10.118.175.59,6,0,1,2545.9,0.327,0,1,2,benigno
10.85.56.208,12,9,4,1501.9,0.317,3,1,1,brute_force
10.67.11.46,6,1,1,3056.5,0.148,0,0,1,benigno
10.124.65.73,7,2,1,2212.2,0.082,0,1,2,benigno
10.0.64.79,8,1,1,4558.3,0.077,0,1,1,benigno
10.148.149.187,14,10,2,3836.3,0.219,0,0,1,benigno
10.221.109.54,12,0,2,2706.8,0.121,0,0,1,benigno
10.19.239.129,6,1,1,7254.2,0.133,0,0,1,benigno
10.108.157.119,15,2,1,2723.3,0.108,0,0,1,benigno
10.53.250.213,7,6,4,2086.3,0.561,0,0,1,brute_force
10.72.59.79,14,12,1,2293.6,0.235,0,1,1,benigno
10.162.55.197,9,1,2,1931.0,0.118,0,1,1,benigno
10.160.62.230,192,172,23,10.3,0.672,9,0,3,brute_force
10.188.208.237,7,2,3,2789.7,0.583,0,0,2,benigno
10.24.182.160,7,1,1,1776.3,0.227,0,0,1,benigno
10.110.47.215,6,2,1,3532.4,0.132,0,0,1,benigno
10.26.201.204,8,0,1,6529.3,0.24,0,1,1,benigno
10.67.47.247,201,185,28,4.0,0.802,9,0,2,brute_force
10.169.153.150,7,0,1,1161.8,0.342,0,0,1,benigno
10.219.68.248,7,0,1,1605.8,0.23,0,1,1,benigno
10.81.97.241,13,0,1,1868.8,0.296,0,0,1,benigno
10.195.151.146,173,152,23,1.9,0.809,13,0,1,brute_force
10.51.193.175,8,1,2,2608.4,0.103,0,0,1,benigno
10.92.61.225,6,0,2,2956.0,0.024,0,0,1,benigno
10.234.182.207,4,1,1,5224.5,0.022,0,0,1,benigno
10.82.171.224,6,0,1,4226.5,0.342,0,1,1,benigno
10.153.105.163,10,0,2,3741.6,0.068,0,0,1,benigno
10.185.114.180,180,159,26,0.9,0.61,12,0,3,brute_force
10.226.185.38,164,1,1,818.7,0.105,0,1,2,benigno
10.155.35.162,8,3,1,3715.6,0.495,0,1,1,benigno
10.118.19.50,195,186,34,2.2,0.686,10,0,1,brute_force
10.100.227.226,9,0,1,4020.4,0.09,0,0,1,benigno
10.211.155.251,8,2,1,1809.6,0.104,0,0,2,benigno
10.174.97.133,5,0,1,3699.1,0.22,0,0,2,benigno
10.198.190.240,13,9,5,2454.5,0.281,2,0,1,brute_force
10.92.196.240,8,0,1,1617.6,0.166,0,1,2,benigno
10.25.182.197,7,0,1,2069.5,0.015,0,0,1,benigno
10.108.132.62,9,0,1,5191.1,0.099,0,1,2,benigno
10.247.10.79,186,181,33,0.9,0.368,9,0,1,brute_force
10.105.56.187,5,1,1,945.0,0.298,0,0,1,benigno
10.169.228.65,4,1,1,7124.2,0.386,0,0,1,benigno
10.28.169.118,6,1,2,4611.4,0.305,0,0,1,benigno
10.121.7.189,196,181,22,0.5,0.672,8,0,3,brute_force
10.174.222.212,7,1,2,6030.5,0.282,0,0,2,benigno
10.220.202.20,8,0,1,1193.2,0.154,0,1,1,benigno
10.50.139.106,7,1,3,1464.6,0.054,0,0,1,benigno
10.51.137.215,9,1,1,5334.0,0.065,0,0,1,benigno
10.141.171.236,13,0,1,3890.8,0.21,0,1,2,benigno
10.45.144.46,6,2,1,1688.3,0.508,0,0,1,benigno
10.47.78.149,12,1,2,5058.3,0.636,0,0,1,benigno
10.239.249.142,4,1,3,3639.9,0.106,0,0,1,benigno
10.221.73.97,8,0,2,7071.3,0.025,0,0,1,benigno
10.101.145.130,7,1,1,5038.7,0.132,0,0,1,benigno
10.181.69.62,4,1,3,3663.7,0.23,0,0,2,benigno
10.74.6.240,4,0,3,3159.4,0.219,0,1,1,benigno
10.74.108.181,211,186,28,3.6,0.696,8,0,3,brute_force
10.126.4.223,9,1,2,9433.3,0.035,0,1,1,benigno
10.111.173.52,14,12,1,3101.7,0.154,1,0,1,benigno
10.142.107.115,4,2,1,711.3,0.034,0,1,2,benigno
10.28.188.227,12,1,3,5055.3,0.363,0,0,1,benigno
10.30.18.173,4,0,1,3634.3,0.059,0,1,1,benigno
10.96.87.198,236,207,18,5.6,0.464,11,0,3,brute_force
10.13.150.99,200,171,22,3.5,0.827,9,0,3,brute_force
10.102.201.253,185,164,35,5.7,0.447,17,1,3,brute_force
10.209.220.13,3,1,2,613.9,0.002,0,0,2,benigno
10.103.71.199,5,1,1,1320.4,0.058,0,1,1,benigno
10.167.59.50,9,0,3,3253.1,0.1,0,0,2,benigno
10.235.133.24,11,10,7,6707.5,0.299,2,1,2,brute_force
10.192.15.122,8,1,2,2026.6,0.015,0,0,1,benigno
10.103.55.103,9,0,2,3843.7,0.272,0,0,1,benigno
10.199.87.86,7,0,3,601.1,0.014,0,0,2,benigno
10.154.101.84,7,1,1,4656.3,0.283,0,0,2,benigno
10.6.109.125,8,1,3,4274.2,0.034,0,0,2,benigno
10.250.136.73,4,0,2,2477.7,0.12,0,0,1,benigno
10.247.15.28,11,9,1,3745.3,0.253,0,1,2,benigno
10.212.114.6,3,0,1,2005.3,0.049,0,1,1,benigno
10.51.232.8,144,0,1,455.1,0.532,0,0,1,benigno
10.197.68.222,2,1,3,5360.2,0.229,0,0,2,benigno
10.8.134.85,5,2,2,5481.1,0.059,0,1,1,benigno
10.189.54.52,199,172,23,4.0,0.452,11,0,1,brute_force
10.118.107.151,9,0,2,2362.6,0.015,0,0,1,benigno
10.28.113.113,7,1,1,5122.3,0.038,1,1,2,benigno
10.38.55.70,15,0,1,9202.7,0.93,0,0,1,benigno
10.148.182.199,3,1,1,2386.3,0.146,0,0,1,benigno
10.208.244.205,7,0,3,4605.6,0.097,0,0,1,benigno
10.23.246.61,5,1,3,4394.1,0.215,0,0,1,benigno
10.75.98.200,10,1,1,4377.6,0.3,0,0,2,benigno
10.67.88.127,7,2,3,5051.9,0.244,0,0,1,benigno
10.161.240.177,8,0,1,1651.8,0.123,0,0,2,benigno
10.206.245.76,10,1,1,2592.8,0.182,0,0,1,benigno
10.189.174.124,9,0,3,3534.4,0.048,0,0,1,benigno
10.17.21.225,7,2,3,5710.5,0.106,0,1,1,benigno
10.144.71.214,7,0,3,7088.7,0.12,0,0,2,benigno
10.140.7.223,15,1,1,7525.1,0.183,0,0,2,benigno
10.91.6.51,7,0,2,9283.4,0.059,0,0,1,benigno
10.153.98.196,12,1,2,3207.8,0.673,0,0,2,benigno
10.90.170.133,188,166,32,1.6,0.686,12,0,3,brute_force
10.225.87.131,6,1,1,1877.5,0.003,0,0,1,benigno
10.97.138.144,224,196,26,9.1,0.603,10,0,1,brute_force
10.154.134.196,10,0,2,5942.7,0.03,0,1,1,benigno
10.211.109.186,133,2,1,827.3,0.187,0,1,1,benigno
10.138.207.111,5,0,3,2923.2,0.05,0,0,2,benigno
10.150.175.226,144,1,1,478.7,0.098,0,0,1,benigno
10.109.131.30,7,0,1,4040.4,0.032,0,0,1,benigno
10.54.167.29,9,1,2,1474.1,0.146,0,0,1,benigno
10.230.29.181,200,170,27,4.7,0.634,13,0,2,brute_force
10.105.18.69,5,2,1,1302.4,0.102,0,1,1,benigno
10.137.100.195,8,0,1,3597.3,0.109,0,0,1,benigno
10.98.69.62,11,0,1,5262.9,0.118,0,0,1,benigno
10.112.36.63,8,0,1,4423.6,0.185,0,1,1,benigno
10.249.111.119,8,0,1,3078.9,0.46,0,0,1,benigno
10.125.230.173,3,0,3,6678.2,0.221,0,1,1,benigno
10.41.216.126,8,0,2,2587.4,0.366,0,0,2,benigno
10.62.227.246,9,1,1,4875.1,0.533,0,0,1,benigno
10.222.96.60,5,0,2,5004.8,0.25,0,0,1,benigno
10.48.79.67,10,1,1,4791.4,0.065,0,0,1,benigno
10.8.77.80,6,1,2,4007.4,0.157,0,0,2,benigno
10.7.167.172,10,7,2,956.6,0.265,1,0,2,benigno
10.119.35.174,8,0,2,1708.1,0.19,0,0,1,benigno
10.126.72.33,17,1,1,3879.1,0.261,0,0,1,benigno
10.194.62.91,4,0,1,1963.0,0.29,0,0,1,benigno
10.120.102.224,9,0,1,1266.5,0.455,0,0,1,benigno
10.89.222.217,9,0,2,3446.5,0.123,0,0,1,benigno
10.237.17.26,9,0,1,3926.8,0.036,0,1,1,benigno
10.246.152.230,8,0,3,4308.5,0.051,0,0,1,benigno
10.180.2.221,8,1,2,2868.0,0.274,0,0,2,benigno
10.227.158.43,2,0,1,2583.4,0.289,0,0,1,benigno
10.12.44.224,4,1,1,10020.5,0.362,0,1,1,benigno
10.170.146.206,7,1,2,8187.4,0.073,0,0,2,benigno
10.123.77.158,8,2,1,2639.9,0.196,0,1,2,benigno
10.175.8.117,5,0,2,2981.3,0.015,0,1,1,benigno
10.180.75.197,2,0,1,5804.5,0.135,0,1,1,benigno
10.245.90.23,11,2,1,3666.6,0.417,0,0,1,benigno
10.0.181.197,5,0,2,1148.4,0.214,0,0,1,benigno
10.85.234.79,8,0,2,1953.6,0.104,0,0,1,benigno
10.59.120.21,14,11,3,2453.4,0.07,0,0,1,benigno
10.176.204.138,7,0,2,2851.9,0.097,0,0,1,benigno
10.193.66.181,8,1,2,5221.4,0.355,0,0,1,benigno
10.208.131.131,9,0,1,4761.9,0.217,0,0,1,benigno
10.184.4.78,10,1,3,2096.9,0.044,0,0,1,benigno
10.171.176.61,5,1,3,3299.1,0.38,0,1,1,benigno
10.71.251.146,8,1,1,2225.8,0.058,0,1,2,benigno
10.205.11.81,11,1,1,2504.1,0.03,0,0,1,benigno
10.45.254.103,11,2,1,3267.4,0.115,0,0,1,benigno
10.145.129.126,16,2,2,4268.2,0.398,0,0,1,benigno
10.95.241.84,10,1,3,4971.7,0.371,0,0,1,benigno
10.4.40.50,5,1,1,3109.4,0.333,0,0,1,benigno
10.42.242.100,4,2,1,6215.5,0.379,0,0,1,benigno
10.7.228.76,5,1,2,3110.3,0.176,0,0,1,benigno
10.21.148.67,6,0,1,2876.7,0.029,0,0,2,benigno
10.141.47.55,12,10,5,4465.0,0.475,0,0,2,brute_force
10.170.232.125,5,3,2,2950.9,0.169,0,0,1,benigno
10.234.156.191,7,1,3,3727.5,0.198,0,0,1,benigno
10.204.209.239,9,0,1,3471.9,0.188,0,1,1,benigno
10.15.3.126,199,184,29,4.2,0.545,16,0,2,brute_force
10.108.90.65,5,0,2,3360.1,0.274,0,0,2,benigno
10.72.128.220,3,0,1,3646.4,0.36,0,1,1,benigno
10.199.78.132,205,191,31,1.0,0.433,11,0,3,brute_force
10.141.124.214,13,10,6,1932.2,0.735,2,0,2,brute_force
10.214.221.68,17,15,2,5182.4,0.307,0,0,1,benigno
10.89.16.200,12,10,2,3172.4,0.067,0,0,1,benigno
10.103.108.252,6,0,2,2209.6,0.343,0,0,1,benigno
10.119.190.209,9,1,1,3919.6,0.14,0,0,1,benigno
10.231.143.139,8,0,2,4477.2,0.012,0,0,1,benigno
10.178.56.85,209,205,31,5.4,0.318,16,0,1,brute_force
10.73.208.62,8,1,3,4480.3,0.184,0,0,1,benigno
10.50.168.218,6,2,1,2944.3,0.147,0,0,1,benigno
10.37.176.92,8,0,1,4059.8,0.157,0,0,1,benigno
10.111.51.4,3,2,1,5940.6,0.073,0,1,1,benigno
10.27.102.225,6,0,1,3619.2,0.142,0,0,2,benigno
10.118.13.213,5,0,1,4301.5,0.073,0,1,1,benigno
10.222.185.211,14,0,3,1764.3,0.968,0,0,2,benigno
10.194.5.96,12,0,1,2770.0,0.094,0,0,1,benigno
10.215.135.26,6,1,2,1883.1,0.17,0,0,1,benigno
10.63.124.177,7,0,3,2589.9,0.145,0,1,1,benigno
10.179.109.174,11,1,2,5799.8,0.116,0,0,2,benigno
10.28.180.101,10,2,1,1724.6,0.318,0,1,2,benigno
10.31.194.145,7,0,1,2635.0,0.046,1,0,1,benigno
10.31.125.152,9,1,2,2472.4,0.257,0,1,1,benigno
10.203.148.171,10,1,3,6273.5,0.117,0,0,2,benigno
10.204.179.237,4,2,1,4643.3,0.06,0,0,1,benigno
10.27.171.65,7,2,2,3994.3,0.174,0,0,1,benigno
10.135.77.152,10,0,1,4950.3,0.126,0,0,1,benigno
10.103.208.173,6,1,1,7941.7,0.222,0,1,1,benigno
10.231.112.162,7,0,2,4075.9,0.002,0,0,1,benigno
10.144.202.101,10,0,1,3266.3,0.023,0,1,2,benigno
10.169.19.68,8,1,1,2963.2,0.021,0,0,1,benigno
10.164.123.72,5,1,1,1365.2,0.04,0,1,1,benigno
10.102.12.240,5,1,2,2833.1,0.169,0,0,1,benigno
10.145.53.230,9,0,1,3169.5,0.058,0,1,1,benigno
10.65.194.163,8,1,3,2384.2,0.049,0,0,1,benigno
10.47.223.170,4,0,1,1632.1,0.023,0,0,1,benigno
10.124.226.195,5,0,1,2966.8,0.066,0,0,1,benigno
10.48.219.248,8,0,1,2771.7,0.322,0,0,1,benigno
10.186.1.31,7,0,2,1383.2,0.459,0,0,1,benigno
10.0.131.179,8,0,1,4085.5,0.403,0,0,1,benigno
10.96.233.151,5,0,2,2015.6,0.114,0,1,1,benigno
10.224.20.227,5,0,1,1641.4,0.207,0,1,1,benigno
10.153.119.137,6,0,1,3046.9,0.008,0,0,2,benigno
10.216.213.141,12,1,2,2446.8,0.205,0,0,1,benigno
10.150.33.174,5,2,3,5586.0,0.121,0,0,1,benigno
10.135.12.43,6,1,1,4348.4,0.207,0,0,1,benigno
10.105.40.202,11,9,5,2815.8,0.559,1,0,2,brute_force
10.162.205.45,5,2,2,4106.7,0.103,0,0,1,benigno
10.125.196.105,8,1,3,2731.5,0.019,0,1,2,benigno
10.110.132.201,14,9,4,4173.4,0.199,2,0,2,brute_force
10.40.72.18,8,0,1,1064.5,0.206,0,0,2,benigno
10.186.241.94,7,2,2,5252.0,0.389,0,1,2,benigno
10.216.53.217,5,1,2,3485.1,0.423,0,0,1,benigno
10.168.107.168,3,0,1,2601.5,0.135,0,0,2,benigno
10.246.48.195,3,1,3,4124.4,0.533,0,0,1,benigno
10.208.43.100,2,1,3,3181.2,0.117,0,1,2,benigno
10.122.79.236,12,11,5,3490.2,0.889,1,0,1,brute_force
10.75.107.164,5,0,3,2783.7,0.083,0,0,1,benigno
10.104.15.156,7,0,3,2429.1,0.007,0,1,1,benigno
10.98.131.110,10,9,4,3366.3,0.228,2,0,2,brute_force
10.207.5.165,15,12,3,2490.3,0.012,0,1,1,benigno
10.158.52.242,4,2,1,2104.9,0.337,0,0,1,benigno
10.153.149.131,7,1,1,3462.3,0.524,0,0,2,benigno
10.251.2.7,5,0,1,5076.2,0.345,0,0,2,benigno
10.131.117.190,6,1,1,1604.9,0.132,0,1,1,benigno
10.86.17.210,151,1,1,489.4,0.364,0,0,1,benigno
10.207.149.252,10,0,1,5297.7,0.225,0,0,1,benigno
10.229.19.150,9,2,3,3368.9,0.183,0,0,1,benigno
10.86.122.88,11,1,1,3056.2,0.064,0,0,1,benigno
10.62.76.29,204,197,26,2.1,0.578,8,0,1,brute_force
10.190.108.78,6,1,1,5202.4,0.035,0,0,1,benigno
10.88.134.9,7,1,2,1813.1,0.342,0,0,2,benigno
10.111.235.86,11,2,1,3134.0,0.264,0,1,1,benigno
10.209.245.139,3,0,1,2104.8,0.036,0,1,1,benigno
10.24.131.232,7,0,2,3657.2,0.116,0,1,1,benigno
10.228.51.98,9,0,1,3506.0,0.217,0,0,1,benigno
10.48.197.213,5,1,2,6058.1,0.067,0,0,1,benigno
10.246.100.68,191,188,25,3.7,0.828,11,0,1,brute_force
10.206.169.116,8,0,2,2067.1,0.081,0,0,1,benigno
10.40.28.108,8,0,1,5081.3,0.275,0,1,1,benigno
10.159.193.116,199,174,26,1.7,0.747,12,1,3,brute_force
10.148.28.5,9,1,2,1724.0,0.109,0,0,1,benigno
10.103.190.25,210,191,29,2.6,0.576,13,0,1,brute_force
10.120.76.229,16,1,3,3063.2,0.156,0,0,1,benigno
10.94.44.43,199,193,24,1.2,0.393,14,0,2,brute_force
10.118.69.40,180,169,20,4.3,0.325,16,0,1,brute_force
10.161.202.5,7,0,3,2270.7,0.069,0,0,1,benigno
10.15.6.1,4,0,2,4381.8,0.264,0,1,1,benigno
10.172.113.218,5,0,1,353.9,0.069,0,0,1,benigno
10.187.175.30,10,1,1,3575.6,0.098,0,1,1,benigno
10.12.28.61,10,1,2,1344.9,0.01,0,1,1,benigno
10.82.218.3,10,0,3,2204.3,0.208,0,0,1,benigno
10.99.95.16,5,1,2,2149.0,0.189,0,0,1,benigno
10.48.81.212,180,154,33,3.2,0.92,7,0,1,brute_force
10.247.187.85,8,0,2,7356.5,0.029,0,1,1,benigno
10.56.32.120,6,0,1,3812.3,0.104,0,0,2,benigno
10.185.78.183,14,1,3,2559.9,0.686,0,0,1,benigno
10.80.7.96,7,1,1,4670.3,0.001,0,0,2,benigno
10.159.16.115,17,15,1,1983.4,0.081,0,0,1,benigno
10.80.73.21,6,1,2,884.8,0.072,0,1,1,benigno
10.145.60.198,5,1,1,5545.9,0.016,0,0,1,benigno
10.149.112.39,202,179,29,17.9,0.769,13,0,3,brute_force
10.89.8.158,10,1,1,1934.3,0.068,1,0,1,benigno
10.231.253.211,10,1,1,3829.0,0.125,0,0,1,benigno
10.180.231.85,5,1,1,2250.6,0.19,0,1,1,benigno
10.162.224.138,3,0,3,2424.5,0.188,0,0,2,benigno
10.89.169.96,17,15,3,1932.8,0.368,0,0,1,brute_force
10.213.50.87,18,14,3,9519.1,0.008,0,0,1,benigno
10.60.32.230,8,1,1,4505.2,0.197,0,0,1,benigno
10.37.70.22,3,0,1,6021.4,0.136,0,0,2,benigno
10.65.20.20,8,1,1,3519.9,0.019,0,0,1,benigno
10.248.190.246,8,0,1,4069.7,0.095,0,0,1,benigno
10.83.42.43,6,1,1,4850.2,0.245,0,0,1,benigno
10.169.236.160,3,0,2,4234.3,0.109,0,0,1,benigno
10.33.235.216,10,1,1,2798.2,0.156,0,0,2,benigno
10.213.153.160,6,1,1,2110.4,0.03,0,1,1,benigno
10.118.35.58,11,7,3,4153.5,0.002,0,0,1,benigno
10.182.6.68,4,1,1,5341.6,0.19,0,0,1,benigno
10.225.41.14,202,198,31,2.0,0.27,14,0,1,brute_force
10.201.18.166,5,0,1,5016.5,0.171,0,0,2,benigno
10.76.151.214,8,2,2,4498.8,0.14,0,0,2,benigno
10.177.127.83,8,1,1,2709.0,0.138,0,0,2,benigno
10.86.203.144,6,1,1,2496.9,0.118,0,0,1,benigno
10.211.209.113,5,0,1,5477.2,0.205,0,0,1,benigno
10.179.221.159,8,0,3,4491.1,0.099,0,1,1,benigno
10.17.212.130,6,0,2,1277.0,0.11,0,0,1,benigno
10.125.46.184,8,1,1,4140.0,0.253,0,0,1,benigno
10.116.106.56,207,203,26,3.8,0.636,13,0,1,brute_force
10.157.53.102,9,0,2,5559.2,0.043,0,1,1,benigno
10.148.12.205,8,0,1,2656.5,0.039,0,0,1,benigno
10.180.88.230,2,2,2,2891.4,0.133,0,1,1,benigno
10.90.22.206,181,158,29,5.8,0.619,15,0,3,brute_force
10.52.74.182,18,1,2,6436.0,0.869,0,0,2,benigno
10.46.245.236,8,0,2,2171.3,0.147,0,0,1,benigno
10.116.118.154,7,1,1,1846.0,0.018,0,1,2,benigno
10.169.232.245,11,1,1,3991.8,0.119,0,0,1,benigno
10.147.188.239,8,1,3,6717.8,0.114,0,0,2,benigno
10.117.175.116,7,1,2,3587.9,0.365,0,0,1,benigno
10.59.6.249,198,195,31,1.3,0.72,6,0,2,brute_force
10.159.34.72,10,2,3,5892.3,0.21,0,0,1,benigno
10.123.75.145,6,0,1,5034.3,0.05,0,0,1,benigno
10.180.226.24,7,2,1,3706.1,0.285,0,0,1,benigno
10.87.102.229,4,1,1,1986.0,0.293,0,0,1,benigno
10.246.221.24,10,8,5,2896.1,0.743,1,1,1,brute_force
10.129.48.205,8,2,3,3929.5,0.332,0,0,1,benigno
10.191.164.127,7,1,1,1226.0,0.336,0,0,1,benigno
10.138.156.193,5,1,1,2516.5,0.109,1,0,1,benigno
10.150.93.249,7,0,3,6201.8,0.026,0,0,2,benigno
10.218.81.223,232,227,23,2.4,0.824,11,0,2,brute_force
10.222.78.128,7,1,3,9523.3,0.169,0,0,1,benigno
10.45.190.203,14,2,1,1046.4,0.916,0,0,1,benigno
10.42.196.186,9,0,2,1065.7,0.527,0,0,1,benigno
10.42.114.225,202,178,29,1.6,0.512,15,0,1,brute_force
10.19.184.251,203,179,21,1.1,0.486,10,0,1,brute_force
